label,survey_codes,text_de,text_fr,text_it,text_ro,text_en,category_label,category_text_de,category_text_fr,category_text_it,category_text_ro,category_text_en,options_value,options_label
kant,,Kantonszugehörigkeit Gemeinden,Appartenance cantonale Communes,Affiliazione cantonale Comuni,Not available for the moment,Cantonal affiliation Communes,,,,,,,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26,ZH;BE;LU;UR;SZ;OW;NW;GL;ZG;FR;SO;BS;BL;SH;AR;AI;SG;GR;AG;TG;TI;VD;VS;NE;GE;JU
pop,,Einwohnerzahl BFS,Nombre d'habitants OFS,Popolazione BFS,Not available for the moment,Population BFS
spr,,Sprachgebiete der Schweiz,Régions linguistiques de la Suisse,Aree linguistiche della Svizzera,Not available for the moment,Linguistic areas of Switzerland,,,,,,,1;2;3;4,de;fr;it;ro
bez,,Bezirksnummer,Numéro de district,Nome del distretto,Not available for the moment,District name
arbeiten,GSB23_Q52;GSB17_Q58,"Arbeitet der/die Gemeindepräsident/-in aktiv in der Verwaltung mit, d.h. erledigt er/sie auch administrative Tätigkeiten ähnlich wie Verwaltungsmitarbeitende?","Le maire participe-t-il activement à l'administration, c'est-à-dire qu'il exerce-t-il également des activités administratives similaires au personnel administratif?","Il sindaco partecipa attivamente all'amministrazione, cioè fa anche attività amministrative simili al personale amministrativo?",Not available for the moment,"Does the mayor actively participate in the administration, i.e. does he/she also carry out administrative activities similar to administrative staff?",,,,,,,2.0;1.0;-99.0,
wieviele,GSB94_27;GSB05_38;GSB09_34,"Wieviele    Mitglieder    der    Gemeindeexekutive    (inkl.    Präsident)    sind ehrenamtlich, halbamtlich oder vollamtlich tätig?","Combien de membres de la direction municipale (y compris le président) sont des bénévoles, des semi-officiers ou des employés à temps plein?","Quanti membri dell'esecutivo municipale (incluendo il presidente) sono volontari, semi-officiali o impiegati a tempo pieno?",Not available for the moment,"How many members of the municipal executive (including the president) are volunteers, semi-officials or full-time employees?",,,,,,,,
Polarisierung,GSB94_25;GSB05_33,"Hat  die  Polarisierung  in  der  lokalen  Parteienlandschaft  in  den  letzten  10
Jahren eher zu- oder eher abgenommen",La polarisation dans le paysage des partis locaux a-t-elle diminué plus ou moins au cours des 10 dernières années?,La polarizzazione nel panorama locale dei partiti è diminuita più o meno negli ultimi 10 anni?,Not available for the moment,Has polarization in the local party landscape declined more or less over the last 10 years,,,,,,,,
letzter,GSB94_38a;GSB05_37,"Ist  es  in  den  letzten  10  Jahren  leichter  oder  schwieriger  geworden,  für vakante Ämter der Gemeindeexekutive genügend qualifizierte Kandidaten
zu finden?","Au cours des 10 dernières années, a-t-il été plus facile ou plus difficile de trouver des candidats qualifiés suffisants pour des postes vacants dans les administrations municipales?","Negli ultimi 10 anni, è diventato più facile o più difficile trovare candidati qualificati per i posti vacanti nei dirigenti municipali?",Not available for the moment,"In the last 10 years, has it become easier or more difficult to find sufficient qualified candidates for vacant offices in municipal executives?",,,,,,,,
politisch,GSB88_52;GSB94_21;GSB05_29,"Wenn   Sie   sich   die   politischen   Auseinandersetzungen   in   Ihrer Gemeinde   vor   Augen   halten;    bei    welchen   Themen   sind    die Auseinandersetzungen  harter  geworden  und  bei  welchen  weniger
hart?","Si vous avez à l'esprit les conflits politiques de votre collectivité, sur quelles questions les conflits sont devenus plus difficiles et sur quelles moins?","Se tenete a mente i conflitti politici nella vostra comunità, su quali questioni i conflitti sono diventati più difficili e su quali meno?",Not available for the moment,"If you keep in mind the political conflicts in your community, on which issues have the conflicts become harder and on which less?",,,,,,,,
Gemeinde,GSB94_36;GSB05_50,Für      alle      Gemeinden:      Sind      die      Mitwirkungsmöglichkeiten      der Einwohnerschaft in den letzten 10 Jahren erweitert worden?,Pour toutes les municipalités: Les possibilités de participation des habitants ont-elles été élargies au cours des 10 dernières années?,Per tutte le municipalità: Le possibilità di partecipazione dei cittadini sono state estese negli ultimi 10 anni?,Not available for the moment,For all municipalities: Have the possibilities of participation of the inhabitants been extended in the last 10 years?,,,,,,,,
folgend,GSB94_24;GSB05_35,"Welche      der      folgenden      politischen      Parteien      und      politischen Gruppierungen*, die sich mit Kandidaten an den Wahlen beteiligen, sind in Ihrer Gemeinde organisiert, welche sind in den letzten 5 Jahren gegründet
worden? Wurden Gruppierungen aufgelöst?","Quels des partis et groupes politiques* suivants qui participent aux élections avec des candidats sont organisés dans votre municipalité, qui ont été créés au cours des cinq dernières années? Les groupes ont-ils été dissous?","Quali dei partiti e dei gruppi politici* che partecipano con i candidati alle elezioni sono organizzati nella vostra municipalità, che sono stati fondati negli ultimi 5 anni? Sono stati dissolti?",Not available for the moment,"Which of the following political parties and political groups* participating with candidates in the elections are organized in your municipality, which have been established in the last 5 years? Have the groups been dissolved?",,,,,,,,
Anteil,GSB23_Q9;GSB17_Q7,Wie gross ist der Anteil der Steuereinnahmen an den Gesamteinnahmen der Gemeinde?,Quelle est la part des recettes fiscales dans les recettes totales de la municipalité?,Quanto è grande la percentuale dei ricavi fiscali nel totale dei ricavi della municipalità?,Not available for the moment,How large is the share of tax revenues in the total revenues of the municipality?,,,,,,,3.0;99.0;5.0;2.0;1.0;4.0;-99.0,
stehen,GSB23_Q7;GSB17_Q6,Wie steht Ihre Gemeinde im kantonalen Finanzausgleich?,Quelle est la position de votre municipalité en matière d'indemnisation financière cantonale?,Come si presenta la vostra municipalità nella compensazione finanziaria cantonale?,Not available for the moment,How does your municipality stand in cantonal financial compensation?,,,,,,,1.0;2.0;99.0;4.0;3.0;-99.0,
