gemid,GSB88_pop,GSB88_pop_8,GSB88_pop_10,GSB94_pop,GSB94_pop_8,GSB94_pop_10,GSB98_pop,GSB98_pop_8,GSB98_pop_10,GSB05_pop,GSB05_pop_8,GSB05_pop_10,GSB09_pop,GSB09_pop_8,GSB09_pop_10,GSB17_pop,GSB17_pop_8,GSB17_pop_10,GSB88_kant,GSB94_kant,GSB98_kant,GSB05_kant,GSB09_kant,GSB17_kant,GSB88_spr,GSB94_spr,GSB98_spr,GSB05_spr,GSB09_spr,GSB17_spr,GSB23_bez,GSB23_kant,GSB23_pop,GSB23_spr,GSB23_bezname,GSB23_Q52,GSB17_Q58,GSB23_Q9,GSB17_Q7,GSB23_Q7,GSB17_Q6
1,1230,4,4,1350,4,4, , , ,1602,4,4,1700,4,4,1976,4,4,1,1,1,1,1,1,1,1, ,1,1,1,101.0,1.0,1991.0,1.0,Affoltern,2.0,2,3.0,1,1.0, 
2,9461,6,6,9400,6,6,9480,6,6,10166,7,7,10630,7,7,11895,7,7,1,1,1,1,1,1,1,1,1,1,1,1,101.0,1.0,12588.0,1.0,Affoltern,2.0, ,99.0,4,2.0,1
3,2717,5,5,3028,5,5,3612,5,5,4330,5,5,4990,5,5,5434,6,6,1,1,1,1,1,1,1,1,1,1,1,1,101.0,1.0,5624.0,1.0,Affoltern,2.0,2,3.0,2,2.0,2
4,2701,5,5,2850,5,5,3030,5,5,3142,5,5,3253,5,5,3570,5,5,1,1,1,1,1,1,1,1,1,1,1,1,101.0,1.0,3879.0,1.0,Affoltern,2.0, ,99.0, ,99.0, 
5,2190,5,5,2500,5,5,2818,5,5,3108,5,5,3403,5,5,3683,5,5,1,1,1,1,1,1,1,1,1,1,1,1,101.0,1.0,3871.0,1.0,Affoltern,0.0, ,5.0, ,4.0, 
6,730,3,3,825,3,3, , , ,861,3,3,865,3,3,1110,4,4,1,1,1,1,1,1,1,1, ,1,1,1,101.0,1.0,1321.0,1.0,Affoltern,1.0, ,2.0, ,2.0, 
7,1045,4,4,1174,4,4, , , ,1475,4,4,1733,4,4,2168,5,5,1,1,1,1,1,1,1,1, ,1,1,1,101.0,1.0,2416.0,1.0,Affoltern,1.0, ,5.0,3,2.0,4
8,495,2,2,502,3,3,507,3,3,578,3,3,568,3,3,626,3,3,1,1,1,1,1,1,1,1,1,1,1,1,101.0,1.0,644.0,1.0,Affoltern,2.0,8,1.0,4,2.0,3
9,2876,5,5,3000,5,5, , , ,3918,5,5,4109,5,5,4861,5,5,1,1,1,1,1,1,1,1, ,1,1,1,101.0,1.0,5635.0,1.0,Affoltern,2.0, ,2.0, ,2.0, 
10,3818,5,5,4000,5,5, , , ,4330,5,5,4520,5,5,5129,6,6,1,1,1,1,1,1,1,1, ,1,1,1,101.0,1.0,5787.0,1.0,Affoltern,2.0, ,99.0, ,99.0, 
11,2038,5,5,2187,5,5,2164,5,5,2229,5,5,2311,5,5,2590,5,5,1,1,1,1,1,1,1,1,1,1,1,1,101.0,1.0,2858.0,1.0,Affoltern,0.0,2,99.0,5,99.0,5
12,663,3,3,700,3,3,713,3,3,805,3,3,843,3,3,1078,4,4,1,1,1,1,1,1,1,1,1,1,1,1,101.0,1.0,1149.0,1.0,Affoltern,2.0,1,3.0,1,2.0,5
13,2020,5,5,2295,5,5,2568,5,5,2871,5,5,2869,5,5,3646,5,5,1,1,1,1,1,1,1,1,1,1,1,1,101.0,1.0,3854.0,1.0,Affoltern,2.0,3,99.0,3,2.0,3
14,3425,5,5,3621,5,5,3492,5,5,4078,5,5,4323,5,5,5122,6,6,1,1,1,1,1,1,1,1,1,1,1,1,101.0,1.0,5282.0,1.0,Affoltern,2.0,50,4.0,5,3.0,1
21,497,2,2, , , ,561,3,3,577,3,3,569,3,3,666,3,3,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,, ,, ,, 
22,598,3,3,638,3,3,743,3,3,726,3,3,752,3,3,857,3,3,1,1,1,1,1,1,1,1,1,1,1,1,102.0,1.0,847.0,1.0,Andelfingen,2.0,2,2.0,1,2.0,1
23,466,2,2,501,3,3,554,3,3,598,3,3,582,3,3,567,3,3,1,1,1,1,1,1,1,1,1,1,1,1,102.0,1.0,592.0,1.0,Andelfingen,0.0,3,0.0,1,0.0,1
24,555,3,3,650,3,3,709,3,3,793,3,3,843,3,3,956,3,3,1,1,1,1,1,1,1,1,1,1,1,1,102.0,1.0,1038.0,1.0,Andelfingen,1.0, ,99.0,3,2.0,1
25,1149,4,4, , , ,1392,4,4,1707,4,4,1893,4,4,1997,4,4,1,1,1,1,1,1,1,1,1,1,1,1,102.0,1.0,1950.0,1.0,Andelfingen,2.0,1,2.0,2,2.0,1
26,420,2,2,470,2,2,536,3,3,643,3,3,628,3,3,629,3,3,1,1,1,1,1,1,1,1,1,1,1,1,102.0,1.0,712.0,1.0,Andelfingen,2.0, ,2.0, ,2.0, 
27,2772,5,5,2719,5,5,2678,5,5,3210,5,5,3389,5,5,3597,5,5,1,1,1,1,1,1,1,1,1,1,1,1,102.0,1.0,3771.0,1.0,Andelfingen,2.0, ,4.0,2,2.0,5
28,1003,4,4,1045,4,4,1115,4,4,1194,4,4,1237,4,4,1362,4,4,1,1,1,1,1,1,1,1,1,1,1,1,102.0,1.0,1474.0,1.0,Andelfingen,2.0, ,2.0,2,2.0,1
