label,code_first_question,text_de,text_fr,text_it,text_ro,text_en,category_label,category_text_de,category_text_fr,category_text_it,category_text_ro,category_text_en,options_value,options_label
wieviele,GSB88_8,wieviele administrativ tätig angestellter Beamter Lehrlinge Gemeindeverwaltung beschäftigen Personal gemeindeeigen Werk anstalen Bau Strassenarbeiter abwart Polizei,,,,,,,,,,,,
politisch,GSB88_52,politisch Auseinandersetzung Gemeinde Auge halten Thema Auseinandersetzung hart hart,,,,,,,,,,,,
Wahlbeteiligung,GSB88_55,Wahlbeteiligung Gemeinde,,,,,,,,,,,,
Gemeinde,GSB94_5,Gemeinde unterschiedlich Masse bestimmt gesellschaftlich Entwicklung betreffen nachfolgend Reihe Entwicklung auflisten bitte geben Ausmass Gemeinde betreffen,,,,,,,,,,,,
Problem,GSB94_8,Problem Gemeinde aufgrund hoch Arbeitsbelastung mangelnd Fachkompetenz angemessen Weise bewältigen Bereich Gemeinde leistungsgrenzen lg sichtbar,,,,,,,,,,,,
stehen,GSB94_18,stehen Gemeinde Finanzausgleich,,,,,,,,,,,,
7,GSB23_Q7,stehen Gemeinde Finanzausgleich,,,,,,,,,,,1.0;2.0;99.0;4.0;3.0;-99.0,
stark,GSB94_22,stark einfluss nachstehend organisation Personengruppe Gremien Lokalpolitik Gemeinde letzter 10 verändern,,,,,,,,,,,,
folgend,GSB94_24,folgend politisch Partei politisch Gruppierung Kandidat Wahl Beteilig Gemeinde organisieren letzter 5 gründen Gruppierung auflösen,,,,,,,,,,,,
folgend,GSB94_24,folgend politisch Partei politisch Gruppierung Kandidat Wahl Beteilig Gemeinde organisieren letzter 5 gründen Gruppierung auflösen,,,,,,,,,,,,
Polarisierung,GSB94_25,Polarisierung lokal Parteienlandschaft letzter 10 eher eher abnehmen,,,,,,,,,,,,
Mitglied,GSB94_26a,Mitglied umfassen Gemeindeexekutive insgesamt,,,,,,,,,,,,
wieviele,GSB94_27,wieviele Mitglied Gemeindeexekutive Inkl Präsident ehrenamtlich halbamtlich vollamtlich tätig,,,,,,,,,,,,
Gemeinde,GSB94_33,Gemeinde Gemeindeversammlung gemeindeversammlung Einwohnerversammlung 10 vergleichen häufig,,,,,,,,,,,,
Gemeinde,GSB94_36,Gemeinde mitwirkungsmöglichkeiten Einwohnerschaft letzter 10 erweitern,,,,,,,,,,,,
letzter,GSB94_38a,letzter 10 leicht schwierig Vakant Ämter Gemeindeexekutive genügend qualifiziert Kandidat finden,,,,,,,,,,,,
letzter,GSB94_38a,letzter 10 leicht schwierig Vakant Ämter Gemeindeexekutive genügend qualifiziert Kandidat finden,,,,,,,,,,,,
personal,GSB94_39a1,personal Verwaltung,,,,,,,,,,,,
Gemeindeverwaltung,GSB98_5ab,Gemeindeverwaltung Personalmanagement,,,,,,,,,,,,
Gemeindeverwaltung,GSB98_5ab,Gemeindeverwaltung Personalmanagement,,,,,,,,,,,,
Gemeindeverwaltung,GSB98_5ac,Gemeindeverwaltung Rechnungswesen,,,,,,,,,,,,
Gemeindeverwaltung,GSB98_5ac,Gemeindeverwaltung Rechnungswesen,,,,,,,,,,,,
Gemeindeverwaltung,GSB98_5ad,Gemeindeverwaltung einwohnerkontroll,,,,,,,,,,,,
Gemeindeverwaltung,GSB98_5ad,Gemeindeverwaltung einwohnerkontroll,,,,,,,,,,,,
Gemeindeverwaltung,GSB98_5ae,Gemeindeverwaltung kanzlei,,,,,,,,,,,,
Gemeindeverwaltung,GSB98_5ae,Gemeindeverwaltung kanzlei,,,,,,,,,,,,
Aufgabe,GSB98_24,Aufgabe erfüllen Form Gemeinde,,,,,,,,,,,,
Zusammenarbeit,GSB98_24a1,Zusammenarbeit Unterstützung Betreuung alt Person,,,,,,,,,,,,
Zusammenarbeit,GSB98_24a1,Zusammenarbeit Unterstützung Betreuung alt Person,,,,,,,,,,,,
Zusammenarbeit,GSB98_24a1,Zusammenarbeit Unterstützung Betreuung alt Person,,,,,,,,,,,,
Organisationsform,GSB98_24a2,Organisationsform Unterstützung Betreuung alt Person,,,,,,,,,,,,
Zusammenarbeit,GSB98_24ac1,Zusammenarbeit Gemeindeverwaltung Personalmanagement,,,,,,,,,,,,
